Slope_deg,Relief_Amp,Rainfall_,Profile_Cu,Plan_Curva,Curvature,Aspect,Elevation,DTS_meter,DTR_meter,DTF_meter,NDWI,NDVI,NDSI,Landuse_La,geology,TPI,TRI,TWI,Training_re
44.9646,72,11.5764,7.38208,5.62742,2.44444,161.263,2685,0,31328.5,16249.7,-0.0863,0.049798,-0.240412,29957500,9369,-20.0768,0.469342,3.40243,0
41.7961,72,6.38722,11.4534,31.5574,4.11111,203.339,5324,6788.56,15179.7,3156.61,-0.021749,0.000417,0.634113,29957500,9369,140.337,0.518951,3.51327,1
5.00628,7,6.90463,2.88998,63.7953,-0.333333,25.3462,5033,7891.54,13392.4,5580.16,0.009311,-0.018981,0.836185,12847100,9369,-12.5663,0.554616,6.93479,1
1.81752,4,6.66709,3.38594,75.8689,0.111111,66.8014,2743,0,32441.8,10528.6,-0.284071,0.191199,-0.284122,576670,9369,5.17429,0.621376,6.85161,0
16.7872,25,6.98643,1.98423,1.93068,-0.333333,57.4074,5237,7891.54,13392.4,6313.23,0.003037,-0.017196,0.815992,12847100,9369,-35.1303,0.483344,5.69822,1
45.7262,80,7.01546,21.3977,76.0126,-4.77778,16.5209,5439,7146.09,14508.4,7146.09,0.052049,-0.019008,0.930943,12847100,9369,-9.17203,0.525128,4.47446,1
6.42315,9,5.94106,1.38515,8.6873,-0.111111,92.1211,4863,4023.91,5690.67,1116.03,-0.011581,-0.002835,0.790341,12847100,9369,-54.0354,0.466321,7.53122,1
22.6199,29,5.26708,2.29815,12.4315,0.555556,343.74,4783,3156.61,4601.52,0,0.014834,-0.000556,0.862143,29957500,9369,-48.0323,0.430096,4.27667,1
45.9917,75,6.85362,23.8296,6.31342,4,29.1442,5634,7058.41,8997.74,3156.61,0.023594,-0.021446,0.879356,11420700,9369,135.554,0.588277,4.05972,1
37.2697,54,6.49164,8.10607,20.8717,0.111111,165.735,5145,6010.02,7891.54,2495.52,-0.036377,0.00547,0.590568,29957500,9369,-66.6398,0.56724,5.75381,1
9.04603,16,6.97106,11.4261,63.1113,3.22222,222.879,5403,8499.45,11216,4991.05,0.039396,-0.014762,0.861975,12847100,9369,0.400345,0.55312,5.23874,1
13.995,20,6.88994,1.21343,35.817,-0.222222,321.789,5444,7891.54,10106.1,4023.91,0.05822,-0.018431,0.93654,12847100,9369,-68.1586,0.517732,5.88917,1
23.2772,33,6.93778,10.0326,25.9582,0,21.5953,5380,7891.54,12327,6010.02,0.018623,-0.019433,0.848273,12847100,9369,-58.7547,0.473198,4.24471,1
12.2601,20,7.01911,14.1393,30.9675,0.666667,212.471,5584,6313.23,14551.3,7891.54,-0.004442,-0.00727,0.787173,12847100,9369,-44.9248,0.545533,4.92764,1
4.16195,6,3.93567,-9999,-9999,-1,66.3706,5717,10289.3,37945.1,26993.2,-0.066274,0.00629,0.651646,11420700,-32768,-9.03834,0.476014,7.96759,0
6.42315,11,6.93081,1.74523,47.7213,1.22222,128.991,5425,7486.57,9203.04,4023.91,-0.005557,-0.007957,0.732089,12847100,9369,-66.6148,0.596779,5.58531,1
11.6948,21,7.16021,7.70118,46.0384,-0.888889,139.899,5297,5580.16,14679.1,8499.45,-0.003217,-0.009925,0.818331,12847100,9369,-13.8027,0.451714,12.8361,1
47.7267,75,6.35221,7.12498,78.3968,-0.222222,4.99794,4165,1116.03,27989.9,9600.47,-0.072825,0.015755,0.115618,11420700,9369,185.686,0.48285,3.99902,0
43.7454,66,6.02888,2.8897,13.6489,-1.33333,172.999,4612,1116.03,24143.5,18574.5,-0.095361,0.051069,-0.268081,2594590,664,103.257,0.508845,4.54362,0
31.3517,39,7.59053,12.3883,10.4125,0.444444,266.864,5665,8716.49,9982.09,5580.16,0.010074,-0.018539,0.765968,12847100,9369,-26.0712,0.447335,6.60478,1
5.42764,12,7.58723,13.4704,32.5658,-0.222222,52.125,5648,8124.83,10991.6,6313.23,-0.001526,-0.010509,0.74113,12847100,9369,-8.70186,0.383699,10.6676,1
35.9187,60,5.17661,6.70781,12.7328,-1.11111,66.9745,3539,1116.03,0,2495.52,-0.074771,0.028211,-0.160331,29957500,9369,-85.6871,0.480229,6.61401,1
46.0209,75,5.48749,28.7808,28.3122,8.44444,62.1985,4103,1116.03,1116.03,2232.06,-0.077905,0.028723,-0.113795,11420700,9369,115.79,0.623771,5.445,0
57.5192,111,6.83718,11.1089,32.8986,4.88889,38.7547,5313,4991.05,4601.52,1578.31,0.019518,0.002509,0.839079,29957500,9369,187.777,0.503694,4.04819,0
37.4827,61,7.54694,12.4416,27.505,-0.777778,42.3575,5674,7891.54,11216,7058.41,0.000644,-0.010291,0.759789,12847100,9369,20.4207,0.454136,4.35981,1
43.7378,81,7.54345,15.1589,23.1737,-7.77778,109.855,6002,6788.56,12327,7891.54,-0.004561,-0.006641,0.728952,12847100,9369,79.7571,0.478647,5.23703,1
45.3002,76,6.8339,6.36498,10.9959,-3.22222,121.855,4475,5580.16,4991.05,2232.06,-0.095029,0.025503,-0.096278,29957500,9369,-46.4917,0.504566,7.0796,1
31.1106,45,6.6636,4.37207,13.0165,-1.66667,341.065,4223,4601.52,4023.91,1116.03,-0.003928,0.00727,0.580308,29957500,9369,-60.5969,0.495556,9.87237,1
30.9357,50,7.52079,2.05702,14.5806,1.44444,128.224,5323,8928.25,10289.3,6507.53,-0.001933,-0.006638,0.741865,29957500,9369,-28.4116,0.515824,4.60628,1
10.0304,18,6.85007,4.92826,66.9676,-0.333333,46.9092,4410,6010.02,5580.16,2495.52,-0.005269,0.007022,0.43576,11420700,9369,-63.2679,0.597949,5.13351,1
37.1359,53,6.965,6.31881,14.3319,0.777778,204.027,5209,8047.82,7486.57,4601.52,-0.038134,0.008636,0.63887,8983760,9369,-39.9534,0.527458,6.38727,1
45.3537,74,6.91399,14.0275,12.045,-6.66667,110.225,4802,7058.41,6507.53,3529.2,-0.09055,0.033879,-0.082463,29957500,9369,15.5922,0.419051,4.082,1
4.49515,7,3.89463,1.86353,34.4954,0.555556,32.0054,5489,3348.1,35713,33499.6,-0.113531,0.030325,0.104201,11420700,1817,32.1774,0.448184,5.94437,0
51.338,94,11.5808,16.8971,23.4516,6.33333,290.489,4579,5580.16,21669.4,27177.2,0.046484,0.014175,0.895917,29957500,14147,44.6371,0.461688,3.87128,0
40.021,68,5.90793,12.3466,4.84412,-5.77778,130.17,4113,2232.06,1578.31,0,-0.069474,0.032649,-0.186192,29957500,655,-79.6619,0.500604,7.28945,1
1.21712,3,4.89789,0.206624,67.6794,-0.333333,258.69,3434,0,0,2495.52,-0.031322,0.013717,-0.02522,11420700,655,-15.919,0.428708,22.0087,0
5.55072,8,7.26148,2.92067,22.2579,-0.777778,149.036,5073,10289.3,9982.09,7058.41,-0.001958,-0.009415,0.772485,12847100,9369,-38.6786,0.560831,8.99046,1
14.5997,17,7.26148,3.10344,7.98227,0.222222,172.648,5125,9945.99,9982.09,7058.41,0.001359,-0.011515,0.763153,12847100,9369,-16.1155,0.547626,5.43959,1
34.0194,43,7.28197,3.23992,4.15282,-4.88889,180,5241,3348.1,14116.8,17995.5,-0.027199,0.008316,0.572912,29957500,9369,142.327,0.48982,4.48739,1
1.21712,4,4.6567,2.18349,61.9079,-0.333333,191.31,3402,0,1116.03,3156.61,-0.033035,0.017545,-0.024143,8983760,655,-15.3666,0.536392,10.2973,1
5.47927,6,4.55585,15.4727,80.2836,0.666667,325.62,3402,0,0,3529.2,-0.023866,0.000269,0.146389,11420700,655,-32.5031,0.367293,5.7454,0
35.9349,59,7.3191,5.77246,18.8036,-0.222222,135.466,5641,10991.6,10991.6,8047.82,-0.024336,-0.000206,0.625927,29957500,9369,73.3495,0.519891,4.82166,1
29.7343,46,6.2493,7.66609,19.812,0.666667,23.1986,4521,2232.06,4023.91,7891.54,-0.030772,0.009178,0.701947,29957500,9369,-69.2559,0.412094,3.96124,1
67.2691,202,6.53279,7.28324,14.1146,3.66667,103.939,6173,6010.02,2232.06,5580.16,-0.016899,0.000674,0.370637,29957500,9369,28.9308,0.513781,4.47709,0
5.88513,9,7.08846,4.36846,64.1099,-0.666667,104.036,5523,8124.83,9469.84,9469.84,0.002081,-0.008575,0.786893,12847100,9369,-15.3931,0.572113,5.67347,0
44.9007,75,6.96651,16.2135,19.5997,-6.22222,343.232,5264,4991.05,6010.02,3529.2,0.053137,-0.018339,0.719103,11420700,9369,-29.585,0.445193,7.43002,1
4.10029,8,7.97922,6.94985,39.6832,-0.444444,54.4623,5140,7891.54,14508.4,2495.52,-0.021466,-0.004237,0.86384,12847100,14147,-24.7815,0.438959,7.64609,0
13.2627,25,7.50162,15.4133,9.49944,-0.333333,171.87,5591,10528.6,11048.2,8716.49,-0.005575,-0.008718,0.743172,12847100,9369,80.6029,0.441337,4.84638,1
51.3492,99,7.60069,6.32788,25.9826,0.666667,8.2381,5630,11048.2,10587.6,11863.6,-0.003707,-0.019757,0.704522,29957500,9369,154.712,0.467623,4.56403,1
8.00104,17,7.93788,2.92784,50.8603,1,191.976,5151,8047.82,8997.74,13062.8,-0.007935,-0.007416,0.865856,29957500,9369,-17.0242,0.468757,5.36332,1
50.9456,96,6.76778,9.95998,21.5591,2.77778,126.754,5959,8124.83,1116.03,7812.22,-0.027344,-0.001992,0.53514,12847100,9369,22.2264,0.566289,3.8853,0
12.9136,17,7.56639,1.83685,10.6635,-0.222222,160.907,5260,11160.3,11863.6,9600.47,0.044591,-0.015206,0.922826,29957500,9369,-11.9882,0.514156,8.45753,1
57.1978,102,7.3718,3.19841,8.56454,-2.88889,186.476,5684,9982.09,8928.25,11651.7,-0.013479,-0.000146,0.657989,12847100,9369,84.6445,0.454139,6.59952,1
57.9122,105,7.74695,14.8438,3.3653,6.22222,186.902,5759,8716.49,12327,4023.91,-0.011219,-0.000998,0.775753,29957500,9369,160.946,0.580988,2.93439,0
13.6171,19,7.49046,2.14345,10.6315,-0.666667,93.9452,4801,8716.49,9600.47,7486.57,0.005143,-0.006952,0.813032,12847100,9369,-2.36856,0.557162,5.51217,1
36.9419,54,7.69936,18.1206,8.88807,-4.55556,60.452,6051,10289.3,11048.2,10528.6,0.051829,-0.020877,0.890071,11420700,9369,236.798,0.535383,4.78488,1
7.06204,11,7.30786,0.795299,36.9421,0.333333,137.726,5297,11490.3,7891.54,10991.6,-0.002747,-0.01016,0.797328,12847100,9369,5.81336,0.509861,5.48961,1
50.4321,92,5.67719,17.9221,30.5289,1,86.8421,5136,3274.37,2232.06,0,-0.071471,0.026335,0.001844,2147480000,655,204.648,0.537407,3.90358,0
25.6889,43,7.41013,10.5448,80.6554,1.44444,14.0362,5349,8124.83,8997.74,5580.16,0.051648,-0.016921,0.901378,29957500,9369,-82.5878,0.440843,4.13303,1
32.6672,60,5.41435,30.3873,24.4539,-2.66667,188.973,3529,1116.03,1116.03,2495.52,-0.028995,0.043614,-0.086246,29957500,885,-151.673,0.457986,6.14823,0
51.5999,106,6.1636,9.97573,10.3818,2.44444,316.874,4234,2232.06,1578.31,3156.61,-0.007353,0.014277,0.284737,8983760,9369,-43.0771,0.513595,4.55505,0
29.2235,43,7.51815,4.47887,2.00765,1.11111,111.405,5425,9966.17,11160.3,8997.74,-0.006282,-0.002459,0.693621,12847100,9369,-39.9915,0.454263,4.6752,1
44.393,89,8.03767,19.7098,15.3504,-7,312.585,5598,11160.3,6507.53,8928.25,0.068337,-0.031252,0.903098,29957500,9369,-126.072,0.409304,6.36683,1
29.0219,38,7.38461,25.3897,33.3869,-1.66667,165.651,5073,7891.54,8716.49,10289.3,-0.003334,-0.005527,0.817222,12847100,9369,-40.6168,0.468555,6.47524,1
54.0703,94,5.97327,8.20289,9.07047,-0.555556,184.85,4530,2495.52,1578.31,2232.06,-0.095462,0.03842,-0.194806,29957500,9369,-45.8853,0.504675,6.29803,0
38.0681,62,8.44991,10.7345,26.481,-0.555556,339.444,5521,12276.4,4991.05,7891.54,0.056676,-0.028936,0.929559,12847100,9369,17.4565,0.486893,4.33871,1
46.2254,78,8.12574,2.73854,64.3537,4.33333,17.4222,5499,12327,4601.52,8124.83,0.057849,-0.02761,0.941381,12847100,9369,-47.2292,0.488147,3.35841,1
43.7133,89,8.00948,5.59518,21.2025,17.3333,228.18,5906,8997.74,5580.16,9469.84,-0.00666,-0.004331,0.66739,29957500,9369,91.7291,0.498681,3.44613,1
4.82254,7,8.37559,5.58482,57.3953,-0.888889,200.225,5376,13392.4,4023.91,6788.56,-0.003194,-0.011535,0.853497,12847100,9369,2.54972,0.475167,9.86274,1
33.658,56,8.16539,1.59843,9.35589,-0.666667,232.628,5483,13438.8,3529.2,7058.41,0.006625,-0.010039,0.762329,29957500,9369,52.2796,0.513409,4.50102,1
38.914,70,7.90905,16.7529,22.3357,-0.333333,135.418,5690,12071.7,3529.2,8047.82,-0.011592,-0.005466,0.779691,12847100,9369,79.7085,0.5506,5.00155,1
7.50614,10,8.00496,1.09747,39.3354,0.888889,71.565,5459,12724.7,3348.1,7486.57,-0.00535,-0.008975,0.801732,12847100,9369,-35.8053,0.510403,5.42796,1
18.6403,21,7.90905,18.2302,79.6832,-4.33333,334.385,5557,12071.7,3529.2,8047.82,0.010091,-0.02835,0.904316,12847100,9369,56.2565,0.483238,7.32113,1
4.05866,7,5.37305,0.480698,75.0936,1.44444,356.634,4383,0,0,0,-0.070767,0.021741,0.4608,8983760,292,-60.9173,0.49823,6.0469,0
49.6845,103,7.85457,2.1857,14.6903,0.555556,241.26,5071,6507.53,1578.31,5580.16,0.041923,-0.005618,0.739695,8983760,9369,30.3203,0.515651,3.23695,1
18.8922,30,7.88256,11.9466,25.0446,0.444444,132.039,5308,10044.3,2232.06,6507.53,-0.010506,-0.005401,0.836666,12847100,9369,-27.1343,0.507745,4.47348,1
52.1279,90,7.85943,12.1053,19.1196,1.66667,308.95,5659,10044.3,3156.61,7486.57,0.048065,-0.020747,0.913487,29957500,9369,150.495,0.445627,3.84293,1
31.7644,54,7.87947,4.07154,13.7035,1.22222,312.818,4280,4734.92,20578.6,17035.5,-0.004563,0.009166,0.840922,11420700,14147,25.8987,0.500416,5.49002,1
9.19103,15,7.80878,8.14021,4.30716,1,145.491,5041,8997.74,1116.03,4991.05,-0.016387,0.000593,0.7736,29957500,9369,-5.85169,0.445315,5.22257,1
46.1852,85,6.81736,6.1459,13.6669,1.44444,291.334,4703,1116.03,1116.03,2495.52,-0.01082,0.01591,0.311776,8983760,9369,50.8104,0.547083,6.06787,0
6.38815,9,7.74555,1.63386,35.0912,0,225,4479,8124.83,1116.03,3529.2,-0.001124,-0.005167,0.786995,11420700,9369,-65.8493,0.560561,6.28397,1
23.5538,35,7.81592,10.7607,3.05665,1,211.715,5322,7812.22,1116.03,5690.67,-0.015761,-0.000188,0.731082,29957500,9369,127.168,0.472875,4.23147,1
23.8859,38,7.71443,8.09985,5.09508,0.666667,250.201,5169,8124.83,1116.03,5580.16,-0.005984,-0.003837,0.837613,12847100,9369,-24.3124,0.529307,4.21573,1
23.5902,34,7.91912,13.4742,25.2793,-2.66667,138.094,5289,7891.54,1116.03,6313.23,-0.018635,0.003197,0.749918,11420700,9369,-45.0808,0.519504,9.30491,1
7.66758,13,7.4006,4.28395,52.0932,1.55556,68.1986,4548,5580.16,0,4991.05,-0.059913,0.013783,0.826313,29957500,14147,30.3729,0.597347,5.40643,1
21.4392,29,7.87221,7.10185,5.9081,-0.333333,289.204,4368,5690.67,1116.03,4601.52,-0.050407,0.011123,0.870859,2594590,14147,-47.4007,0.429066,6.12771,1
29.4602,44,7.08636,4.87134,12.6404,2.44444,114.864,4841,5690.67,0,4601.52,-0.037143,0.011692,0.763122,2594590,14147,2.78911,0.494601,3.97238,1
24.5427,36,7.12872,2.06708,71.4745,0.555556,334.604,5383,6507.53,1578.31,3156.61,-0.006207,-0.003893,0.781372,12847100,14147,-31.5377,0.4533,4.18509,1
49.1251,73,14.6901,15.5813,35.4866,7.11111,78.7711,3640,2232.06,3529.2,34071,-0.109585,0.036396,-0.127799,8983760,14147,42.5586,0.557448,3.25671,0
13.5977,27,7.07595,5.00087,75.6999,-2.22222,42.2073,5496,6313.23,3156.61,1578.31,0.008165,-0.005827,0.82574,11420700,14147,60.8596,0.63559,5.51365,1
31.038,47,7.02045,6.56688,8.93312,2.55556,227.806,4915,5580.16,5690.67,0,-0.062336,0.019454,0.39528,29957500,14147,35.2861,0.484084,3.90909,1
43.7757,70,6.38087,10.581,11.1668,0.222222,346.931,4947,4023.91,4023.91,4464.13,0.068259,-0.015477,0.82796,29957500,9369,-38.9069,0.47641,6.622,0
40.5563,68,7.18831,0.698697,2.65576,-0.666667,337.681,3242,1116.03,1116.03,7058.41,0.074485,0.019861,0.474665,8983760,14147,-54.8143,0.486149,3.55694,1
52.7816,113,6.24471,20.5858,19.9882,-3.66667,235.053,5832,6788.56,7058.41,19776.1,-0.066418,0.017012,0.613862,29957500,14147,-13.6218,0.449069,5.07207,0
51.2041,91,6.77076,24.577,17.4249,-7.44444,19.1632,4242,2495.52,2232.06,10289.3,-0.010299,0.018495,0.838083,8983760,14147,19.5616,0.432257,4.56922,1
54.2445,99,6.89326,11.3239,13.9753,5.44444,18.0001,4274,3156.61,3348.1,11048.2,0.015329,0.01515,0.800645,8983760,14147,-28.3089,0.497131,3.07275,1
18.0097,29,7.06802,10.3494,50.9734,2.77778,88.5312,3658,1116.03,1116.03,10528.6,0.035128,0.025341,0.318996,11420700,14147,-155.694,0.402965,4.5248,1
52.1366,100,6.594,7.99843,18.6185,-1.77778,238.782,4433,1578.31,1578.31,1578.31,-0.009527,0.024567,0.23053,11420700,14147,58.2751,0.546923,4.53576,0
51.6364,100,7.32892,14.96,14.7256,1.44444,2.07913,5015,3348.1,4601.52,13438.8,0.018189,0.005555,0.917876,12847100,14147,62.0538,0.548301,3.86059,1
31.6608,40,7.25781,4.5025,77.6713,-0.888889,0,4813,2232.06,3529.2,12724.7,0.034078,0.007885,0.902075,11420700,14147,84.6776,0.563394,4.98324,1
7.65305,9,7.39868,2.66566,79.4144,-0.666667,352.875,5046,4464.13,5690.67,14204.8,0.035057,-0.012,0.923761,11420700,14147,-103.522,0.582441,10.7882,1
38.914,71,8.00558,11.9524,34.6232,1.33333,225.418,5529,5580.16,7058.41,15783.1,-0.009982,0.000761,0.815041,11420700,14147,68.9188,0.495175,5.22469,1
61.0669,157,10.7131,15.428,21.0824,-3.55556,331.074,5827,9469.84,18030,15861.8,0.05589,-0.026009,0.843607,12847100,9369,-89.5098,0.466052,5.20631,0
48.6865,73,7.18356,2.668,80.1119,-1,5.04245,3602,1116.03,3348.1,12724.7,0.017531,0.021696,0.496395,29957500,14147,-38.3984,0.484926,6.49103,1
28.3789,53,7.15284,7.56668,12.7927,2,121.115,4423,3348.1,5580.16,15179.7,-0.078763,0.023539,0.343969,8983760,14147,-17.1601,0.49673,4.01697,1
13.7827,18,7.38219,11.2595,31.1237,0.888889,110.898,4789,4464.13,6507.53,15861.8,-0.041006,0.012301,0.830307,8983760,14147,-24.8284,0.516927,4.80646,1
51.7682,91,8.4473,34.0287,16.9071,5.33333,82.4551,5007,10289.3,8997.74,29038.3,0.002277,-0.003709,0.807626,29957500,14147,50.7297,0.595879,4.54901,0
42.8785,76,7.04801,8.77836,21.1701,-5.33333,291.038,3897,1116.03,4601.52,14292.2,0.027202,0.019843,0.642539,29957500,14147,33.159,0.50914,6.36569,1
4.49515,14,7.0287,2.77736,78.2553,0.111111,32.0054,4348,3529.2,6313.23,16095.6,0.014897,0.009185,0.907176,8983760,14147,-82.832,0.5028,5.94437,1
36.9782,53,7.28742,4.91025,11.5864,1.44444,84.9204,4680,4601.52,7146.09,16740.5,-0.032305,0.018183,0.730463,576670,14147,-32.5876,0.475236,3.68494,1
44.848,91,9.12768,14.7967,16.8874,-8.55556,301.293,5272,7812.22,9600.47,19744.6,0.119373,-0.02591,0.926436,29957500,14147,-107.676,0.458219,6.35094,1
50.9568,87,8.56363,19.0872,13.6934,-4.77778,166.715,5476,7891.54,9982.09,18939.7,-0.020456,0.008181,0.751228,29957500,14147,52.3545,0.47989,3.8849,1
36.1156,54,7.13752,7.98269,15.5262,1.77778,103.878,3747,2495.52,6010.02,15861.8,-0.027866,0.017504,0.192139,11420700,14147,-110.093,0.437125,3.71641,1
14.7242,31,8.62225,10.1125,67.3705,2.66667,92.7263,5446,8124.83,9982.09,19744.6,-0.017863,0.006701,0.794357,12847100,14147,144.764,0.544635,4.73757,1
32.9657,57,7.06792,21.0592,25.6531,-2.88889,332.447,3954,3529.2,7058.41,16740.5,0.08,0.007483,0.827813,8983760,14147,-37.0827,0.4357,7.76603,1
24.2075,36,8.45328,0.48456,27.913,2.11111,55.5735,5287,7486.57,10289.3,19870.4,-0.001566,-0.005118,0.811147,12847100,14147,18.1122,0.528939,7.96185,1
48.2055,85,7.83313,10.745,45.8332,-6.77778,303.453,5223,4023.91,4023.91,4023.91,0.027588,0.004998,0.838633,29957500,77,-17.8009,0.454558,6.06166,0
12.3646,20,8.77505,15.1569,41.0107,1,171.254,5192,9600.47,7891.54,23007.6,-0.021958,0.000976,0.777178,12847100,14147,7.34699,0.449766,4.9189,1
8.16581,13,6.35664,4.80142,60.9741,0,25.821,3161,0,0,0,-0.043891,0.025883,-0.018966,8983760,885,-23.0157,0.529585,6.03581,0
7.12502,21,8.38482,25.7386,59.0154,-1,233.13,4663,1116.03,14508.4,24552.7,0.022245,-0.022831,0.423491,11420700,9369,-43.6619,0.428203,13.6003,0
